node,system_id,in_degree,out_degree,degree,betweenness,closeness,eigenvector,pagerank,downstream_count,upstream_count,is_articulation,importance_score,risk_label
Route 53,payment_gateway_01,0,1,1,0.0,0.0,0.0,0.01759353094113298,14,0,False,0.4,low
CloudFront (web),payment_gateway_01,1,3,4,0.07142857142857144,0.07142857142857142,0.0,0.032547940907918696,13,1,True,0.7823738450604123,high
AWS WAF,payment_gateway_01,1,2,3,0.016483516483516484,0.09523809523809523,0.0,0.026815460481238423,12,2,False,0.44965647950722576,medium
API Gateway (public),payment_gateway_01,2,4,6,0.15384615384615385,0.32010582010582006,0.0,0.0970440615903729,11,11,False,0.7036721156124142,high
Lambda (payments),payment_gateway_01,3,7,10,0.36813186813186816,0.3601190476190476,0.0,0.1646329013116218,11,11,True,1.3142857142857143,high
Lambda (settlement),payment_gateway_01,2,5,7,0.20329670329670332,0.2700892857142857,0.0,0.12856828686669874,11,11,False,0.8018479033404406,high
DynamoDB (transactions),payment_gateway_01,1,0,1,0.0,0.2857142857142857,0.0,0.03758443149172826,0,12,False,0.0,low
RDS (reporting),payment_gateway_01,1,1,2,0.0,0.210801393728223,0.0,0.03944997424437453,11,11,False,0.35873015873015873,low
SQS (settlement queue),payment_gateway_01,1,1,2,0.04395604395604396,0.2700892857142857,0.0,0.03758443149172826,11,11,False,0.4064913527600095,medium
SNS (fraud alerts),payment_gateway_01,1,0,1,0.0,0.2857142857142857,0.0,0.03758443149172826,0,12,False,0.0,low
KMS (keys),payment_gateway_01,2,1,3,0.041208791208791215,0.3324175824175824,0.0,0.05944087479496981,11,11,False,0.4479507225775883,medium
CloudWatch,payment_gateway_01,4,1,5,0.13461538461538464,0.4548872180451128,0.0,0.08928431116469654,11,11,False,0.6383321487799101,high
IAM,payment_gateway_01,3,1,4,0.07692307692307693,0.37577639751552794,0.0,0.08006238162459109,11,11,False,0.5312011371712864,medium
S3 (logs),payment_gateway_01,3,0,3,0.0,0.3025210084033613,0.0,0.05883348332922519,0,12,False,0.08888888888888889,low
VPC (main),payment_gateway_01,3,1,4,0.09890109890109891,0.3601190476190476,0.0,0.09297349826797446,11,11,False,0.5550817341862118,medium
Route 53,food_ordering_01,0,1,1,0.0,0.0,0.0,0.02760501334930794,14,0,False,0.4,medium
CloudFront (web),food_ordering_01,1,2,3,0.07142857142857144,0.07142857142857142,0.0,0.051069202045568626,13,1,True,0.7241558441558442,high
AWS WAF,food_ordering_01,1,1,2,0.016483516483516484,0.09523809523809523,0.0,0.04930950127002782,12,2,False,0.3976823176823177,medium
